No,word,POST,Meaning,Amharic,"["""
34,abrogate,v,"To abolish, repeal",መሻር፣ መሰረዝ,
35,abrupt,adj,"Beginning, ending, or changing suddenly or with a break",በድንገት የሚጀምር ወይም የሚያበቃ,
36,abscess,n,A Collection of pus in a cavity formed within some tissue of the body,በሰውነት ውስጥ የሚፈጠር እብጠት (ፐስ),
37,abscission,n,"The act of cutting off, as in a surgical operation",የመቆረጥ ተግባር (እንደ ቀዶ ሕክምና),
38,abscond,v,"To depart suddenly and secretly, as for the purpose of escaping arrest",በድንገት እና በስውር መሄድ (ከእስር ለማምለጥ),
39,absence,n,The fact of not being present or available,አለመገኘት,
40,absent-minded,adj,Lacking in attention to immediate surroundings or business,ለአካባቢ ወይም ለሥራ ትኩረት የማይሰጥ,
41,absolution,n,"Forgiveness, or passing over of offenses",ይቅርታ፣ ከኀጢአት ነጻ መውጣት,
42,absolve,v,To free from sin or its penalties,ከኀጢአት ወይም ቅጣት ነጻ ማድረግ,
43,absorb,v,"To drink in or suck up, as a sponge absorbs water",መጠጣት፣ መሳብ (እንደ ስፖንጅ ውሃ),
44,absorption,n,The act or process of absorbing,የመሳብ ወይም የመጠጣት ተግባር,
45,abstain,v,"To keep oneself back (from doing or using something),,to hold back from, refuse to participate in, refrain from",ከመሳተፍ መቆጠብ፣ መታቀብ,
46,abstemious,adj,"sparing in food and drink,,Characterized by self denial or abstinence, as in the use of drink, food",በምግብ እና መጠጥ ራስን የሚገታ,
47,abstinence,n,Self denial,ራስን መግታት,
48,abstract,adj,"theoretical, not concrete",ንድፈ-ሐሳባዊ፣ ተጨባጭ ያልሆነ,
49,abstruse,adj,Dealing with matters difficult to be understood,ለመረዳት አስቸጋሪ,
50,absurd,adj,Inconsistent with reason or common sense,ከምክንያት ወይም ከአእምሮ ጋር የማይስማማ,
51,abundant,adj,Plentiful,የተትረፈረፈ,
52,abusive,adj,Employing harsh words or ill treatment,ጠበኛ ቃላት ወይም መጥፎ አያያዝ የሚጠቀም,
53,abut,v,To touch at the end or boundary line,በጫፍ ወይም ድንበር ላይ መንካት,
54,abyss,n,Bottomless gulf,ጥልቅ ጉድጓድ፣ ታች የሌለው,
55,academic,adj,"Of or pertaining to an academy, college, or university",ከአካዳሚ፣ ኮሌጅ ወይም ዩኒቨርሲቲ ጋር የተያያዘ,
56,academician,n,"A member of an academy of literature, art, or science",የሥነ-ጽሑፍ፣ ጥበብ ወይም ሳይንስ አካዳሚ አባል,
57,academy,n,Any institution where the higher branches of learning are taught,ከፍተኛ ትምህርት የሚሰጥ ተቋም,
58,accede,v,To agree,መስማማት፣ መቀበል,
59,accelerate,v,To move faster,ፍጥነት መጨመር,
60,accept,v,To take when offered,ሲቀርብ መቀበል,
61,access,n,A way of approach or entrance; passage,የመግቢያ መንገድ,
62,accessible,adj,Approachable,በቀላሉ የሚቀረብ,
63,accession,n,"Induction or elevation, as to dignity, office, or government",ወደ ሥልጣን ወይም መንግሥት መግባት,
64,accessory,n,A person or thing that aids the principal agent,ዋና ተዋናይን የሚረዳ ሰው ወይም ነገር,
65,acclaim,v,To utter with a shout,በጩኸት መወደስ,
66,accommodate,v,To furnish something as a kindness or favor,እንደ ቸርነት ማቅረብ,
67,accompaniment,n,"A subordinate part or parts, enriching or supporting the leading part",ዋና ክፍልን የሚደግፍ ንዑስ ክፍል,
68,accompanist,n,One who or that which accompanies,አጃቢ,
69,accompany,v,"To go with, or be associated with, as a companion",እንደ ጓደኛ መሄድ ወይም መያዝ,
70,accomplice,n,An associate in wrong-doing,በበደል ውስጥ ተባባሪ,
71,accomplish,v,To bring to pass,ማሳካት,
72,accordion,n,A portable free-reed musical instrument,በእጅ የሚጫወት የሙዚቃ መሣሪያ,
73,accost,v,To speak to,ማነጋገር,
74,account,n,"A record or statement of receipts and expenditures, or of business transactions",የገቢ እና ወጪ መዝገብ,
75,accouter,v,To dress,ማለብስ,
76,accredit,v,To give credit or authority to,ስልጣን ወይም እምነት መስጠት,
77,accumulate,v,To become greater in quantity or number,በብዛት ወይም በቁጥር መጨመር,
78,accuracy,n,Exactness,ትክክለኛነት,
79,accurate,adj,Conforming exactly to truth or to a standard,ከእውነት ወይም ከስታንዳርድ ጋር የሚስማማ,
80,accursed,adj,"Doomed to evil, misery, or misfortune",ለክፋት ወይም ለመከራ የተፈረደ,
81,accusation,n,"A charge of crime, misdemeanor, or error",የወንጀል ክስ,
82,accusatory,adj,"Of, pertaining to, or involving an accusation",ከክስ ጋር የተያያዘ,
83,accuse,v,"To charge with wrong doing, misconduct, or error",በስህተት ወይም በወንጀል መክሰስ,
84,accustom,v,To make familiar by use,በመጠቀም ልማዳዊ ማድረግ,
85,acerbity,n,"Sourness, with bitterness and astringency",መራራ እና ጠንካራ ጣዕም,
86,acetate,n,A salt of acetic acid,የአሴቲክ አሲድ ጨው,
87,acetic,adj,"Of, pertaining to, or of the nature of vinegar",ከኮምጣጤ ጋር የተያያዘ,
88,ache,v,To be in pain or distress,ህመም ወይም ጭንቀት መሰማት,
89,Achillean,adj,Invulnerable,የማይቆሰል,
90,achromatic,adj,"Colorless,",ቀለም የሌለው,
91,acid,n,A sour substance,መራራ ንጥረ ነገር,
92,acidify,v,To change into acid,ወደ አሲድ መቀየር,
93,acknowledge,v,To recognize; to admit the genuineness or validity of,መቀበል፣ ትክክለኛነት ማመን,
94,acknowledgment,n,Recognition,እውቅና,
95,acme,n,"The highest point, or summit",ከፍተኛው ነጥብ,
96,acoustic,adj,Pertaining to the act or sense of hearing,ከመስማት ችሎታ ጋር የተያያዘ,
97,acquaint,v,To make familiar or conversant,ማስተዋወቅ፣ ማላመድ,
98,acquiesce,v,"To comply; submit,to agree with, to go along with,,to agree with, to go along with",መስማማት፣ መቀበል,
99,acquiescence,n,Passive consent,ዝምተኛ ፈቃድ,
100,acquire,v,To get as one's own,የራስ ማድረግ,
101,acquisition,n,"Anything gained, or made one's own, usually by effort or labor",የተገኘ ነገር (በጥረት ወይም በሥራ),
102,acquit,v,"To free or clear, as from accusation",ከክስ ነጻ ማድረግ,
103,acquittal,n,A discharge from accusation by judicial action,በፍርድ ቤት ከክስ መፈታት,
104,acquittance,n,"Release or discharge from indebtedness, obligation, or responsibility",ከዕዳ ወይም ኃላፊነት መፈታት,
105,acreage,n,"Quantity or extent of land, especially of cultivated land",የመሬት ስፋት (በተለይ የታረሰ),
106,acrid,adj,"Harshly pungent or bitter,,bitter, pungent",መራራ፣ የሚነክስ,
107,acrimonious,adj,"bitter, vengeful,,Full of bitterness",መራራ፣ በቀል የሚፈልግ,
108,acrimony,n,Sharpness or bitterness of speech or temper,የንግግር ወይም የባህርይ መራራነት,
109,actionable,adj,"Affording cause for instituting an action, as trespass, slanderous words",ለክስ መሠረት የሚሆን,
110,actuality,n,Any reality,እውነታ,
111,actuary,n,"An officer, as of an insurance company, who calculates and states the risks and premiums",የኢንሹራንስ ኩባንያ አደጋ እና ክፍያ አስላ,
112,actuate,v,To move or incite to action,ወደ ተግባር ማነሳሳት,
113,acumen,n,"Quickness of intellectual insight, or discernment; keenness of discrimination",የማሰብ ችሎታ፣ አስተውሎት,
114,acute,adj,"Having fine and penetrating discernment,,sharp, perceptive",ሹል አስተሳሰብ ያለው,
115,adamant,n,Any substance of exceeding hardness or impenetrability,እጅግ ጠንካራ ንጥረ ነገር,
116,addendum,n,"Something added, or to be added",የተጨመረ ነገር,
117,addle,v,To make inefficient or worthless; muddle,ውጤታማ አለመሆን፣ ማደናገር,
118,adduce,v,To bring forward or name for consideration,ማቅረብ፣ መጥቀስ,
119,adept,adj,skillful,ችሎታ ያለው,
120,adhere,v,"to stick to,,To stick fast or together",መጣበቅ፣ መያያዝ,
121,adherence,n,Attachment,መጣበቅ,
122,adherent,adj,Clinging or sticking fast,የሚጣበቅ,
123,adhesion,n,The state of being attached or joined,የመጣበቅ ሁኔታ,
124,adieu,inter,Good-by; farewell,ቻው፣ ደህና ሁን,
125,adjacency,n,The state of being adjacent,አጠገብ መሆን,
126,adjacent,n,That which is near or bordering upon,አጠገብ ያለ,
127,adjudge,v,To award or bestow by formal decision,በይፋ መመደብ,
128,adjunct,n,"Something joined to or connected with another thing, but holding a subordinate place",ተጨማሪ ነገር,
129,adjuration,n,A vehement appeal,አሳሳቢ ጥያቄ,
130,adjutant,adj,Auxiliary,ረዳት,
131,administrator,n,One who manages affairs of any kind,አስተዳዳሪ,
132,admissible,adj,Having the right or privilege of entry,የመግባት መብት ያለው,
133,admittance,n,"Entrance, or the right or permission to enter",መግቢያ፣ የመግባት ፈቃድ,
134,admonish,v,To warn of a fault,ማስጠንቀቅ,
135,admonition,n,Gentle reproof,ቀስቃሽ ማስጠንቀቂያ,
136,ado,n,unnecessary activity or ceremony,አላስፈላጊ ትርምስ,
137,adoration,n,Profound devotion,ጥልቅ አክብሮት,
138,adorn,v,to decorate,ማስጌጥ,
139,adroit,adj,"skillful, adept,,Having skill in the use of the bodily or mental powers",ችሎታ ያለው፣ ሹል,
140,adulation,n,"praise, respect, admiration",ምስጋና፣ አድናቆት,
141,adulterant,n,An adulterating substance,አድልዎ የሚያደርግ ንጥረ ነገር,
142,adulterate,v,To make impure by the admixture of other or baser ingredients,በመቀላቀል ማበላሸት,
143,adumbrate,v,To represent beforehand in outline or by emblem,ቀድሞ በሥዕል ወይም ምልክት ማሳየት,
144,advent,n,"The coming or arrival, as of any important change, event, state, or personage",መምጣት፣ መገኘት,
145,adversary,n,opponent or enemy,ተቃዋሚ ወይም ጠላት,
146,adverse,adj,Opposing or opposed,ተቃራኒ,
147,adversity,n,Misfortune,መከራ,
148,advert,v,To refer incidentally,በአጋጣሚ መጥቀስ,
149,advertiser,n,"One who advertises, especially in newspapers",አስተዋዋቂ (በተለይ በጋዜጣ),
150,advisory,adj,Not mandatory,ምክር የሚሰጥ፣ የግድ ያልሆነ,
151,advocacy,n,The act of pleading a cause,የመደገፍ ተግባር,
152,advocate,n,"One who pleads the cause of another, as in a legal or ecclesiastical court,,to support / a supporter",ጠበቃ፣ ደጋፊ,
153,aerial,adj,"Of, pertaining to, or like the air",የአየር,
154,aeronaut,n,"One who navigates the air, a balloonist",አየር መንገደኛ፣ ፊኛ አሽከር,
155,aeronautics,n,the art or practice of flying aircraft,የአየር በረራ ጥበብ,
156,aerostat,n,A balloon or other apparatus floating in or sustained by the air,ፊኛ ወይም በአየር የሚንሳፈፍ,
157,aerostatics,n,"The branch of pneumatics that treats of the equilibrium, pressure, and mechanical properties",የአየር ሚዛን እና ግፊት ጥናት,
158,aesthetic,adj,pertaining to a sense of beauty,ውበትን የሚመለከት,
159,affable,adj,"friendly, personable, easy to get along with,,Easy to approach",ተግባቢ፣ ለመገናኘት ቀላል,
160,affect,v,To act upon,መንካት፣ ተጽዕኖ ማሳደር,
161,affectation,n,A studied or ostentatious pretense or attempt,ሰው ሰራሽ ባህሪ,
162,affiliate,n,Some auxiliary person or thing,ተባባሪ,
163,affirmative,adj,Answering yes; to a question at issue,አዎ የሚል,
164,affix,v,To fasten,ማያያዝ,
165,affluence,n,A profuse or abundant supply of riches,ብልጽግና,
166,affront,n,An open insult or indignity,ይፋዊ ስድብ,
167,afire,"adj,adv","On fire, literally or figuratively",በእሳት ላይ (በትርጉምም ሆነ በጥሬ),
168,afoot,adv,In progress,በሂደት ላይ,
169,aforesaid,adj,Said in a preceding part or before,ከላይ የተጠቀሰ,
170,afresh,adv,"Once more, after rest or interval",እንደገና,
171,afterthought,n,A thought that comes later than its appropriate or expected time,ዘግይቶ የመጣ ሃሳብ,
172,agglomerate,v,To pile or heap together,ማከማቸት,
173,aggrandize,v,To cause to appear greatly,ማሳልቅ,
174,aggravate,v,"To make heavier, worse, or more burdensome",ማባባስ,
175,aggravation,n,"The fact of being made heavier or more heinous, as a crime , offense, misfortune, etc",ክብደት መጨመር,
176,aggregate,n,"The entire number, sum, mass, or quantity of something",ድምር,
177,aggress,v,To make the first attack,መጀመሪያ ማጥቃት,
178,aggression,n,An unprovoked attack,ያለምክንያት ጥቃት,
179,aggrieve,v,To give grief or sorrow to,ማሳዘን,
180,aghast,adj,Struck with terror and amazement,በድንጋጤ የተደናገጠ,
181,agile,adj,"Able to move or act quickly, physically, or mentally",አጥባቂ፣ ፈጣን,
182,agitate,v,To move or excite (the feelings or thoughts),ማናወጥ፣ ማስቀጠቅጠቅ,
183,agrarian,adj,"Pertaining to land, especially agricultural land,,having to do with agriculture",የግብርና መሬት,
184,aide-de-camp,n,An officer who receives and transmits the orders of the general,የጄኔራል እጅ መስጫ መኮንን,
185,ailment,n,Slight sickness,ትንሽ ህመም,
186,airy,adj,"Delicate, ethereal",ቀላል፣ ስስ,
187,akin,adj,Of similar nature or qualities,ተመሳሳይ,
188,alabaster,n,A white or delicately tinted fine-grained gypsum,ነጭ የግብስ ድንጋይ,
189,alacrity,n,Cheerful willingness,በደስታ መቀበል,
190,albeit,conj,Even though,ምንም እንኳን,
191,albino,n,"A person with milky white skin and hair, and eyes with bright red pupil and usually pink iris",አልቢኖ (ነጭ ቆዳ ያለው),
192,album,n,A book whose leaves are so made to form paper frames for holding photographs or the like,አልበም,
193,alchemy,n,"Chemistry of the middle ages, characterized by the pursuit of changing base metals to gold",አልኬሚ (ብረትን ወደ ወርቅ የመቀየር ጥበብ),
194,alcohol,n,"A volatile, inflammable, colorless liquid of a penetrating odor and burning taste",አልኮል,
195,alcoholism,n,A condition resulting from the inordinate or persistent use of alcoholic beverages,የአልኮል ሱሰኝነት,
196,alcove,n,A covered recess connected with or at the side of a larger room,የጎን ክፍል,
197,alder,n,"Any shrub or small tree of the genus Alumnus, of the oak family",አልደር ዛፍ,
198,alderman,n,"A member of a municipal legislative body, who usually exercises also certain judicial functions",የከተማ ምክር ቤት አባል,
199,aldermanship,n,"The dignity, condition, office, or term of office of an alderman",የአልደርማንነት ሹመት,
200,alias,n,An assumed name,የሐሰት ስም,
201,alien,n,One who owes allegiance to a foreign government,የውጭ አገር ዜጋ,
202,alienable,adj,"Capable of being aliened or alienated, as lands",ሊተላለፍ የሚችል,
203,alienate,v,To cause to turn away,ማራቅ፣ ማገናኘት ማቋረጥ,
204,alienation,n,Estrangement,መራቅ,
205,aliment,n,That which nourishes,አመጋገብ፣ የሚያሳድግ ነገር,
206,alkali,n,"Anything that will neutralize an acid, as lime, magnesia, etc",አልካላይ (አሲድን የሚያገለል),
207,allay,v,To calm the violence or reduce the intensity of; mitigate,ማስታገስ፣ ማረጋጋት,
208,allege,v,"To assert to be true, especially in a formal manner, as in court",መናገር፣ ማረጋገጥ (በፍርድ ቤት),
209,allegory,n,The setting forth of a subject under the guise of another subject of aptly suggestive likeness,ምሳሌያዊ ትረካ,
210,alleviate,v,"To make less burdensome or less hard to bear,,to relieve, to lessen",ማቅለል፣ ማስታገስ,
211,alley,n,"A narrow street, garden path, walk, or the like",ጠባብ መንገድ,
212,alliance,n,Any combination or union for some common purpose,ህብረት፣ ጥምረት,
213,allot,v,To assign a definite thing or part to a certain person,መመደብ,
214,allotment,n,Portion,ክፍል,
215,allude,v,"To refer incidentally, or by suggestion",በግዴለሽነት መጥቀስ,
216,allure,n,"pull, attraction",መሳብ፣ መማረክ,
217,allusion,n,An indirect and incidental reference to something without definite mention of it,ቀጥተኛ ያልሆነ ማመሳከሪያ,
218,alluvion,n,Flood,ጎርፍ,
219,ally,n,"A person or thing connected with another, usually in some relation of helpfulness",አጋር፣ ተባባሪ,
220,almanac,n,A series of tables giving the days of the week together with certain astronomical information,የቀን መቁጠሪያ መጽሐፍ,
221,aloof,adv,"Not in sympathy with or desiring to associate with others,,shy, reserved, removed, tending to remain apart",ራቅ ያለ፣ ለመተባበር ፈቃደኛ ያልሆነ,
222,altar,n,Any raised place or structure on which sacrifices may be offered or incense burned,መሠዊያ,
223,alter,v,To make change in,መቀየር,
224,alteration,n,Change or modification,ለውጥ,
225,altercate,v,To contend angrily or zealously in words,መከራከር,
226,alternate,n,"One chosen to act in place of another, in case of the absence or incapacity of that other",ተቀያሪ,
227,alternative,n,"Something that may or must exist, be taken or chosen, or done instead of something else",አማራጭ,
228,altitude,n,"Vertical distance or elevation above any point or base-level, as the sea",ከፍታ,
229,alto,n,The lowest or deepest female voice or part,ዝቅተኛ የሴት ድምጽ,
230,altruism,n,Benevolence to others on subordination to self-interest,የሌላውን ጥቅም ማስቀደም,
231,altruist,n,One who advocates or practices altruism,የሌላውን ጥቅም አራማጅ,
232,altruistic,adj,"unselfish, generous, concerned about the wellbeing of others",ለሌሎች ጥቅም ተጋሪ,
233,amalgam,n,An alloy or union of mercury with another metal,የሜርኩሪ ቅይጥ,
234,amalgamate,v,To mix or blend together in a homogeneous body,ማዋሃድ,
235,amass,v,"to gather, accumulate unnecessary",ማከማቸት፣ ማስረከብ,
236,amateur,adj,"Practicing an art or occupation for the love of it, but not as a profession",አማተር፣ በትርፍ ጊዜ የሚሰራ,
237,amatory,adj,Designed to excite love,ፍቅር የሚቀሰቅስ,
238,ambidextrous,adj,"Having the ability of using both hands with equal skill or ease,,able to use both hands equally well",ሁለቱንም እጆች በእኩል መጠቀም የሚችል,
239,ambiguous,adj,"unclear in meaning,,Having a double meaning",ትርጉሙ ያልተረጋገጠ፣ ሁለት ትርጉም ያለው,
240,ambitious,adj,Eagerly desirous and aspiring,ከፍተኛ ምኞት ያለው,
241,ambivalent,adj,torn between two conflicting emotions,በሁለት ስሜት መካከል የተከፋፈለ,
242,ambrosial,adj,"Divinely sweet, fragrant, or delicious",እጅግ ጣፋጭ,
243,ambulance,n,A vehicle fitted for conveying the sick and wounded,አምቡላንስ,
244,ambulate,v,To walk about,መራመድ,
245,ambush,n,The act or state of lying concealed for the purpose of surprising or attacking the enemy,አድብቶ ማጥቃት,
246,ameliorate,v,"To relieve, as from pain or hardship",ማስታገስ,
247,amenable,adj,Willing and ready to submit,ተገዢ የሆነ,
248,amend,v,"to change, revise, fix",ማሻሻል,
249,Americanism,n,A peculiar sense in which an English word or phrase is used in the United States,የአሜሪካ የቃል አጠቃቀም,
250,amiable,adj,"friendly, personable",ተግባቢ,
251,amicable,adj,Done in a friendly spirit,በወዳጅነት መንፈስ,
252,amity,n,Friendship,ወዳጅነት,
253,amorous,adj,Having a propensity for falling in love,ፍቅር ወዳድ,
254,amorphous,adj,"Without determinate shape,,lacking a definite shape or form",ቅርጽ የሌለው,
255,amour,n,"A love-affair, especially one of an illicit nature",የፍቅር ግንኙነት (በተለይ ሕገወጥ),
256,ampere,n,The practical unit of electric-current strength,አምፔር (የኤሌክትሪክ አሃድ),
257,ampersand,n,The character &; and,& ምልክት,
258,amphibious,adj,Living both on land and in water,በመሬት እና በውሃ ውስጥ የሚኖር,
259,amphitheater,n,"An edifice of elliptical shape, constructed about a central open space or arena",አምፊቲያትር,
260,ample,adj,"sufficient, enough or more than enough",በቂ፣ የተትረፈረፈ,
261,amplitude,n,Largeness,ስፋት,
262,amply,adv,Sufficiently,በበቂ ሁኔታ,
263,amputate,v,"To remove by cutting, as a limb or some portion of the body",መቁረጥ (እጅ ወይም እግር),
264,amusement,n,Diversion,መዝናኛ,
265,anachronism,n,Anything occurring or existing out of its proper time,ከጊዜው ውጪ የሆነ,
266,anachronistic,adj,"obsolete, outdated",ጊዜ ያለፈበት,
267,anagram,n,The letters of a word or phrase so transposed as to make a different word or phrase,ቃል እንደገና ማደራጀት,
268,analogous,adj,"Corresponding (to some other) in certain respects, as in form, proportion, relations",ተመሳሳይ,
269,analogy,n,Reasoning in which from certain and known relations or resemblance others are formed,አመሳሳይ አስተሳሰብ,
270,analyst,n,One who analyzes or makes use of the analytical method,ተንታኝ,
271,analyze,v,To examine minutely or critically,መተንተን,
272,anarchy,n,"Absence or utter disregard of government,,breakdown or lack of rule or government, chaos",ሥርዓት አልባነት,
273,anathema,n,"a curse, something hated,,Anything forbidden, as by social usage",የተረገመ,
274,anatomy,n,That branch of morphology which treats of the structure of organisms,የሰውነት አካላት ጥናት (አናቶሚ),
275,ancestry,n,One's ancestors collectively,የዘር ሐረግ,
276,anecdote,n,"A brief account of some interesting event or incident,,a short story intended to instruct or amuse",ትንሽ ታሪክ,
277,anemia,n,Deficiency of blood or red corpuscles,የደም ማነስ,
278,anemic,adj,Affected with anemia,የደም ማነስ ያለበት,
279,anemometer,n,An instrument for measuring the force or velocity of wind,የንፋስ ፍጥነት መለኪያ,
280,anesthetic,adj,Pertaining to or producing loss of sensation,የማደንዘዣ,
281,anew,adv,Once more,እንደገና,
282,angelic,adj,Saintly,የመልአክ,
283,Anglophobia,n,Hatred or dread of England or of what is English,የእንግሊዝ ጥላቻ,
284,Anglo-Saxon,n,"The entire English race wherever found, as in Europe, the United States, or India",አንግሎ-ሳክሰን,
285,angular,adj,Sharp-cornered,ሹል ማዕዘን ያለው,
286,anhydrous,adj,Withered,የደረቀ,
287,animadversion,n,The utterance of criticism or censure,ትችት,
288,animadvert,v,To pass criticism or censure,መተቸት,
289,animalcule,n,An animal of microscopic smallness,ጥቃቅን እንስሳ,
290,animate,v,To make alive,ህይወት መስጠት,
291,animosity,n,Hatred,ጠላትነት,
292,annalist,n,Historian,ታሪክ ጸሐፊ,
293,annals,n,"A record of events in their chronological order, year by year",የዓመታዊ መዝገቦች,
294,annex,v,To add or affix at the end,ማያያዝ፣ መጨመር,
295,annihilate,v,To destroy absolutely,ማጥፋት,
296,annotate,v,To make explanatory or critical notes on or upon,ማብራራት፣ ማጠቃለል,
297,annual,adj,Occurring every year,ዓመታዊ,
298,annuity,n,"An annual allowance, payment, or income",ዓመታዊ ገቢ,
299,annul,v,to make null and void,መሻር,
300,annunciation,n,Proclamation,ማስታወቂያ,
301,anode,n,The point where or path by which a voltaic current enters an electrolyte or the like,አኖድ (የኤሌክትሪክ አዎንታዊ ምሰሶ),
302,anoint,v,"to officially approve, consecrate",መቀደስ,
303,anonymous,adj,Of unknown authorship,ስም የማይታወቅ,
304,antagonism,n,"Mutual opposition or resistance of counteracting forces, principles, or persons",ተቃውሞ,
305,antagonist,n,a person with determined opposition or hatred toward someone,ተቃዋሚ,
306,Antarctic,adj,Pertaining to the south pole or the regions near it,የደቡብ ዋልታ,
307,ante,v,"In the game of poker, to put up a stake before the cards are dealt",ውርርድ ማስገባት,
308,antecede,v,To precede,መቅደም,
309,antecedent,n,"One who or that which precedes or goes before, as in time, place, rank, order, or causality",ቀዳሚ,
310,antechamber,n,A waiting room for those who seek audience,የመጠበቂያ ክፍል,
311,antedate,v,To assign or affix a date to earlier than the actual one,ቀን ማስቀደም,
312,antediluvian,adj,"Of or pertaining to the times, things, events before the great flood in the days of Noah",ከጥፋት ውሃ በፊት,
313,antemeridian,adj,Before noon,ከቀን በፊት,
314,antemundane,adj,Pertaining to time before the world's creation,ከዓለም ፍጥረት በፊት,
315,antenatal,adj,Occurring or existing before birth,ከመወለድ በፊት,
316,anterior,adj,Prior,የበፊት,
317,anteroom,n,"A room situated before and opening into another, usually larger",መግቢያ ክፍል,
318,anthology,n,A collection of extracts from the writings of various authors,ስንክሳር,
319,anthracite,n,Hard coal,ጠንካራ የድንጋይ ከሰል,
320,anthropology,n,The science of man in general,ሥነ-ሰው,
321,anthropomorphous,adj,Having or resembling human form,የሰው ቅርጽ ያለው,
322,antic,n,"A grotesque, ludicrous, or fantastic action",አስቂኝ ድርጊት,
323,Antichrist,n,"Any opponent or enemy of Christ, whether a person or a power",የክርስቶስ ጠላት,
324,anticlimax,n,A gradual or sudden decrease in the importance or impressiveness of what is said,ከፍታ ላይ ወደ ዝቅ መውረድ,
325,anticyclone,n,"An atmospheric condition of high central pressure, with currents flowing outward",የአየር ግፊት ከፍታ,
326,antidote,n,"Anything that will counteract or remove the effects of poison, disease, or the like",መድሀኒት (መርዝን የሚቋቋም),
327,antilogy,n,Inconsistency or contradiction in terms or ideas,ተቃርኖ,
328,antipathize,v,"To show or feel a feeling of antagonism, aversion, or dislike",መጥላት,
329,antiphon,n,"A response or alteration of responses, generally musical",የመዝሙር መልስ,
330,antiphony,n,An anthem or other composition sung responsively,የመዝሙር አንቲፎን,
331,antipodes,n,A place or region on the opposite side of the earth,ተቃራኒ የምድር ክፍል,
332,antiquary,n,"One who collects and examines old things, as coins, books, medals, weapons, etc",ጥንታዊ ነገሮችን ሰብሳቢ,
333,antiquate,v,To make old or out of date,ጊዜ ያለፈ ማድረግ,
334,antiquated,adj,"old-fashioned, antique-like",ጊዜ ያለፈበት,
335,antique,adj,Pertaining to ancient times,ጥንታዊ,
336,antiseptic,n,Anything that destroys or restrains the growth of putrefactive microorganisms,ፀረ-ተህዋሲያን,
337,antislavery,adj,Opposed to human slavery,ባርነትን የሚቃወም,
